contract_id,customer_id,subscription_type,contract_length,start_date,end_date
1,1,Standard,Monthly,2023-05-06,2025-01-30
2,2,Premium,Quarterly,2022-10-08,2025-03-31
3,3,Premium,Quarterly,2020-01-22,2021-01-21
4,4,Premium,Annual,2021-02-15,2025-12-26
5,5,Premium,Annual,2020-05-21,2025-12-26
6,6,Premium,Quarterly,2024-04-05,2025-03-31
7,7,Premium,Annual,2024-12-01,2025-12-26
8,8,Basic,Annual,2020-02-21,2025-12-26
9,9,Basic,Annual,2021-12-12,2022-12-12
10,10,Premium,Monthly,2022-02-10,2025-01-30
11,11,Basic,Quarterly,2022-04-11,2023-04-11
12,12,Standard,Quarterly,2020-06-20,2021-06-20
13,13,Basic,Annual,2023-11-02,2024-11-01
14,14,Standard,Monthly,2021-12-12,2025-01-30
15,15,Basic,Monthly,2021-03-17,2025-01-30
16,16,Premium,Annual,2022-09-08,2023-09-08
17,17,Standard,Monthly,2023-12-02,2024-12-01
18,18,Premium,Annual,2021-01-16,2022-01-16
19,19,Standard,Quarterly,2023-11-02,2025-03-31
20,20,Premium,Quarterly,2022-06-10,2023-06-10
21,21,Premium,Quarterly,2020-05-21,2021-05-21
22,22,Premium,Annual,2020-07-20,2025-12-26
23,23,Standard,Annual,2022-04-11,2023-04-11
24,24,Premium,Monthly,2024-01-06,2025-01-30
25,25,Premium,Quarterly,2023-08-04,2025-03-31
26,26,Basic,Quarterly,2023-10-03,2025-03-31
27,27,Premium,Annual,2024-11-01,2024-12-31
28,28,Basic,Annual,2024-03-06,2024-12-31
29,29,Premium,Annual,2021-08-14,2022-08-14
30,30,Basic,Annual,2023-01-06,2025-12-26
31,31,Basic,Monthly,2020-01-22,2021-01-21
32,32,Basic,Annual,2024-11-01,2024-12-31
33,33,Premium,Monthly,2024-05-05,2025-01-30
34,34,Basic,Quarterly,2022-12-07,2025-03-31
35,35,Standard,Monthly,2022-07-10,2025-01-30
36,36,Premium,Annual,2022-11-07,2025-12-26
37,37,Standard,Quarterly,2023-10-03,2024-10-02
38,38,Standard,Monthly,2020-07-20,2025-01-30
39,39,Standard,Quarterly,2021-06-15,2025-03-31
40,40,Standard,Monthly,2021-09-13,2025-01-30
41,41,Premium,Monthly,2024-08-03,2024-12-31
42,42,Basic,Quarterly,2023-10-03,2024-10-02
43,43,Basic,Quarterly,2023-04-06,2024-04-05
44,44,Basic,Monthly,2021-06-15,2025-01-30
45,45,Premium,Monthly,2020-02-21,2021-02-20
46,46,Basic,Quarterly,2022-09-08,2025-03-31
47,47,Premium,Quarterly,2021-11-12,2025-03-31
48,48,Premium,Monthly,2020-02-21,2021-02-20
49,49,Basic,Monthly,2023-08-04,2025-01-30
50,50,Standard,Quarterly,2020-07-20,2025-03-31
51,51,Standard,Monthly,2023-12-02,2025-01-30
52,52,Standard,Quarterly,2020-08-19,2021-08-19
53,53,Standard,Monthly,2020-03-22,2021-03-22
54,54,Standard,Annual,2020-02-21,2025-12-26
55,55,Basic,Monthly,2022-04-11,2023-04-11
56,56,Standard,Annual,2022-07-10,2025-12-26
57,57,Basic,Annual,2021-07-15,2022-07-15
58,58,Standard,Monthly,2021-02-15,2022-02-15
59,59,Basic,Quarterly,2022-10-08,2023-10-08
60,60,Standard,Annual,2024-01-06,2025-12-26
61,61,Basic,Annual,2023-12-02,2024-12-01
62,62,Basic,Quarterly,2020-12-17,2025-03-31
