activity_id,customer_id,activity_month,logins,support_calls
1,1,2024-01,51,0
2,1,2024-02,54,0
3,1,2024-03,55,0
4,1,2024-04,36,0
5,1,2024-05,49,1
6,1,2024-06,45,0
7,1,2024-07,53,1
8,1,2024-08,44,0
9,1,2024-09,42,0
10,1,2024-10,40,1
11,1,2024-11,46,0
12,1,2024-12,52,0
13,2,2024-01,61,0
14,2,2024-02,53,0
15,2,2024-03,70,0
16,2,2024-04,63,0
17,2,2024-05,63,1
18,2,2024-06,66,0
19,2,2024-07,51,0
20,2,2024-08,55,1
21,2,2024-09,64,0
22,2,2024-10,55,1
23,2,2024-11,58,1
24,2,2024-12,59,0
25,4,2024-01,25,1
26,4,2024-02,30,1
27,4,2024-03,36,1
28,4,2024-04,35,0
29,4,2024-05,37,1
30,4,2024-06,37,1
31,4,2024-07,34,1
32,4,2024-08,33,1
33,4,2024-09,33,1
34,4,2024-10,28,1
35,4,2024-11,26,1
36,4,2024-12,28,1
37,5,2024-01,8,1
38,5,2024-02,6,0
39,5,2024-03,12,1
40,5,2024-04,11,1
41,5,2024-05,11,1
42,5,2024-06,11,1
43,5,2024-07,15,1
44,5,2024-08,9,1
45,5,2024-09,15,0
46,5,2024-10,12,1
47,5,2024-11,15,0
48,5,2024-12,18,0
49,6,2024-05,14,1
50,6,2024-06,12,1
51,6,2024-07,12,1
52,6,2024-08,9,1
53,6,2024-09,9,1
54,6,2024-10,16,1
55,6,2024-11,7,0
56,6,2024-12,20,1
57,7,2024-12,55,1
58,8,2024-01,28,0
59,8,2024-02,10,0
60,8,2024-03,15,0
61,8,2024-04,12,0
62,8,2024-05,10,0
63,8,2024-06,19,0
64,8,2024-07,8,0
65,8,2024-08,10,0
66,8,2024-09,16,0
67,8,2024-10,17,0
68,8,2024-11,7,0
69,8,2024-12,16,0
70,10,2024-01,24,0
71,10,2024-02,19,0
72,10,2024-03,20,0
73,10,2024-04,13,0
74,10,2024-05,32,0
75,10,2024-06,29,0
76,10,2024-07,17,0
77,10,2024-08,27,1
78,10,2024-09,21,0
79,10,2024-10,28,0
80,10,2024-11,21,1
81,10,2024-12,22,1
82,13,2024-01,50,0
83,13,2024-02,48,0
84,13,2024-03,58,0
85,13,2024-04,56,0
86,13,2024-05,52,0
87,13,2024-06,57,0
88,13,2024-07,43,0
89,13,2024-08,45,0
90,13,2024-09,54,0
91,13,2024-10,55,0
92,14,2024-01,25,0
93,14,2024-02,14,1
94,14,2024-03,18,1
95,14,2024-04,26,1
96,14,2024-05,36,1
97,14,2024-06,30,0
98,14,2024-07,31,1
99,14,2024-08,25,1
100,14,2024-09,25,1
101,14,2024-10,18,1
102,14,2024-11,28,1
103,14,2024-12,23,0
104,15,2024-01,53,0
105,15,2024-02,50,0
106,15,2024-03,51,0
107,15,2024-04,49,0
108,15,2024-05,51,0
109,15,2024-06,55,0
110,15,2024-07,43,0
111,15,2024-08,42,0
112,15,2024-09,52,0
113,15,2024-10,57,0
114,15,2024-11,58,0
115,15,2024-12,43,0
116,17,2024-01,29,1
117,17,2024-02,24,0
118,17,2024-03,29,1
119,17,2024-04,37,0
120,17,2024-05,31,0
121,17,2024-06,30,1
122,17,2024-07,34,1
123,17,2024-08,28,1
124,17,2024-09,39,0
125,17,2024-10,32,1
126,17,2024-11,29,0
127,19,2024-01,50,1
128,19,2024-02,52,1
129,19,2024-03,55,1
130,19,2024-04,46,1
131,19,2024-05,53,1
132,19,2024-06,48,1
133,19,2024-07,44,1
134,19,2024-08,44,0
135,19,2024-09,42,0
136,19,2024-10,44,0
137,19,2024-11,53,1
138,19,2024-12,51,0
139,22,2024-01,5,0
140,22,2024-02,3,0
141,22,2024-03,6,0
142,22,2024-04,8,0
143,22,2024-05,10,1
144,22,2024-06,17,0
145,22,2024-07,9,0
146,22,2024-08,20,1
