customer_id,signup_date,region,gender,age
1,2023-05-06,Ontario,Male,55
2,2022-10-08,Manitoba,Male,28
3,2020-01-22,British Columbia,Female,65
4,2021-02-15,Quebec,Male,53
5,2020-05-21,Ontario,Male,32
6,2024-04-05,Ontario,Female,60
7,2024-12-01,Ontario,Male,37
8,2020-02-21,Alberta,Male,21
9,2021-12-12,Quebec,Male,26
10,2022-02-10,British Columbia,Male,65
11,2022-04-11,Ontario,Male,34
12,2020-06-20,Manitoba,Female,26
13,2023-11-02,British Columbia,Female,52
14,2021-12-12,Ontario,Female,32
15,2021-03-17,Ontario,Female,21
16,2022-09-08,Ontario,Female,44
17,2023-12-02,Ontario,Female,45
18,2021-01-16,Quebec,Male,40
19,2023-11-02,Quebec,Female,51
20,2022-06-10,Ontario,Female,41
21,2020-05-21,Quebec,Male,40
22,2020-07-20,Ontario,Male,57
23,2022-04-11,Ontario,Male,46
24,2024-01-06,Ontario,Female,21
25,2023-08-04,Quebec,Female,26
26,2023-10-03,British Columbia,Female,28
27,2024-11-01,Ontario,Male,31
28,2024-03-06,Quebec,Female,29
29,2021-08-14,Quebec,Female,56
30,2023-01-06,Ontario,Male,65
31,2020-01-22,Quebec,Male,23
32,2024-11-01,Ontario,Male,63
33,2024-05-05,Ontario,Male,27
34,2022-12-07,Alberta,Female,45
35,2022-07-10,Manitoba,Male,21
36,2022-11-07,British Columbia,Male,34
37,2023-10-03,Ontario,Female,48
38,2020-07-20,Ontario,Male,55
39,2021-06-15,Quebec,Male,64
40,2021-09-13,Quebec,Male,65
41,2024-08-03,Ontario,Female,33
42,2023-10-03,Quebec,Female,39
43,2023-04-06,Ontario,Female,39
44,2021-06-15,Alberta,Female,28
45,2020-02-21,Ontario,Female,38
46,2022-09-08,Quebec,Female,28
47,2021-11-12,Ontario,Male,56
48,2020-02-21,Quebec,Female,24
49,2023-08-04,Quebec,Female,18
50,2020-07-20,Ontario,Male,63
51,2023-12-02,Manitoba,Male,45
52,2020-08-19,British Columbia,Female,36
53,2020-03-22,Alberta,Female,63
54,2020-02-21,Alberta,Male,23
55,2022-04-11,Quebec,Male,60
56,2022-07-10,Alberta,Female,35
57,2021-07-15,Ontario,Female,38
58,2021-02-15,Ontario,Male,39
59,2022-10-08,Ontario,Female,65
60,2024-01-06,Ontario,Female,41
61,2023-12-02,Ontario,Male,60
62,2020-12-17,Ontario,Male,55
63,2020-07-20,British Columbia,Male,19
64,2022-04-11,Ontario,Female,43
65,2024-09-02,Ontario,Female,18
66,2021-11-12,Quebec,Female,25
67,2020-05-21,Ontario,Female,24
68,2023-12-02,British Columbia,Female,22
69,2023-03-07,Ontario,Male,54
70,2024-10-02,Manitoba,Female,38
71,2021-05-16,British Columbia,Male,45
72,2020-01-22,Ontario,Male,35
73,2022-10-08,Ontario,Male,64
74,2022-09-08,British Columbia,Male,46
75,2021-12-12,British Columbia,Female,39
76,2022-08-09,British Columbia,Male,35
77,2020-10-18,British Columbia,Male,31
78,2020-09-18,Ontario,Male,27
79,2022-03-12,Ontario,Female,22
80,2024-06-04,Ontario,Female,48
81,2024-01-06,Alberta,Female,34
82,2020-11-17,Quebec,Female,25
83,2022-03-12,Ontario,Female,46
84,2021-04-16,Ontario,Female,55
85,2024-03-06,Ontario,Male,18
86,2023-10-03,Ontario,Female,41
87,2020-02-21,British Columbia,Female,50
88,2020-01-22,Quebec,Male,21
89,2021-08-14,Alberta,Female,55
90,2024-12-01,Quebec,Female,39
91,2020-02-21,Ontario,Male,23
92,2023-04-06,British Columbia,Male,22
93,2020-03-22,British Columbia,Female,61
94,2023-07-05,Quebec,Female,53
95,2021-07-15,British Columbia,Female,50
96,2022-05-11,Quebec,Female,65
97,2023-12-02,Quebec,Female,60
98,2021-04-16,Quebec,Male,52
99,2021-09-13,Ontario,Female,27
100,2022-11-07,Ontario,Female,28
101,2020-08-19,Ontario,Male,26
102,2020-08-19,Quebec,Female,41
