payment_id,transaction_id,payment_delay_days,payment_status
1,10,3,Paid
2,13,0,Paid
3,6,3,Paid
4,2,10,Paid
5,12,8,Paid
6,18,8,Paid
7,9,4,Paid
8,4,0,Paid
9,14,8,Paid
10,8,1,Paid
11,29,15,Late
12,19,7,Paid
13,31,2,Paid
14,26,1,Paid
15,30,4,Paid
16,33,3,Paid
17,35,10,Paid
18,25,5,Paid
19,24,1,Paid
20,47,16,Late
21,41,7,Paid
22,38,10,Paid
23,51,3,Paid
24,48,8,Paid
25,50,8,Paid
26,37,0,Paid
27,42,17,Late
28,54,13,Paid
29,43,5,Paid
30,70,9,Paid
31,58,16,Late
32,59,15,Late
33,72,16,Late
34,71,15,Late
35,55,17,Late
36,65,22,Late
37,62,17,Late
38,61,9,Paid
39,64,21,Late
40,83,13,Paid
41,82,20,Late
42,79,0,Paid
43,84,6,Paid
44,78,0,Paid
45,74,7,Paid
46,80,2,Paid
47,73,14,Paid
48,86,9,Paid
49,87,0,Paid
50,92,4,Paid
51,103,0,Paid
52,97,10,Paid
53,102,0,Paid
54,88,7,Paid
55,95,0,Paid
56,89,5,Paid
57,100,15,Late
58,118,1,Paid
59,105,0,Paid
60,120,0,Paid
61,107,0,Paid
62,117,2,Paid
63,116,0,Paid
64,109,2,Paid
65,110,0,Paid
66,111,0,Paid
67,122,0,Paid
68,129,25,Late
69,124,22,Late
70,128,14,Paid
71,131,17,Late
72,133,22,Late
73,127,21,Late
74,126,19,Late
75,152,8,Paid
76,154,14,Paid
77,139,8,Paid
78,144,10,Paid
79,146,21,Late
80,145,3,Paid
81,155,1,Paid
82,142,14,Paid
83,153,7,Paid
84,151,9,Paid
85,171,16,Late
86,165,18,Late
87,169,27,Late
88,170,24,Late
89,161,24,Late
90,160,12,Paid
91,163,14,Paid
92,166,5,Paid
93,157,15,Late
94,172,24,Late
95,158,22,Late
96,175,22,Late
97,176,23,Late
98,174,20,Late
99,189,25,Late
100,181,27,Late
101,182,15,Late
102,183,25,Late
