transaction_id,customer_id,transaction_date,product_id,revenue
23857,2512,2024-01-01,5,30.89
45407,4765,2024-01-01,4,12.17
17128,1819,2024-01-01,4,5.91
17053,1813,2024-01-01,6,13.44
16866,1788,2024-01-01,4,18.89
32391,3392,2024-01-01,2,21.24
45558,4782,2024-01-01,2,11.53
32576,3411,2024-01-01,5,32.79
43250,4549,2024-01-01,2,40.19
15553,1649,2024-01-01,5,40.16
15364,1627,2024-01-01,6,8.26
312,30,2024-01-01,6,38.63
33081,3459,2024-01-01,1,12.66
14725,1566,2024-01-01,4,10.3
43132,4537,2024-01-01,6,11.66
14477,1538,2024-01-01,1,9.19
33467,3494,2024-01-01,5,6.25
14403,1530,2024-01-01,3,7.59
33541,3501,2024-01-01,6,46.43
33705,3519,2024-01-01,2,29.68
33786,3527,2024-01-01,6,18.47
13813,1472,2024-01-01,5,7.56
12834,1376,2024-01-01,3,4.83
15114,1603,2024-01-01,4,13.84
34528,3609,2024-01-01,2,7.54
47680,4999,2024-01-01,2,33.0
17763,1882,2024-01-01,5,7.97
23494,2477,2024-01-01,6,3.95
23162,2437,2024-01-01,5,63.82
28508,2984,2024-01-01,2,19.34
28670,2999,2024-01-01,1,32.45
22521,2364,2024-01-01,6,40.33
22460,2361,2024-01-01,1,28.47
22115,2332,2024-01-01,2,19.06
22101,2331,2024-01-01,4,13.42
21355,2258,2024-01-01,4,11.8
20996,2225,2024-01-01,2,11.08
17370,1837,2024-01-01,3,38.0
20907,2217,2024-01-01,6,13.57
19844,2097,2024-01-01,1,12.13
30524,3176,2024-01-01,3,42.43
19569,2067,2024-01-01,5,16.77
19164,2028,2024-01-01,6,8.25
30745,3196,2024-01-01,1,18.93
18725,1987,2024-01-01,2,10.4
18642,1970,2024-01-01,3,38.83
18418,1945,2024-01-01,5,18.72
18416,1945,2024-01-01,1,16.6
17964,1899,2024-01-01,1,17.52
29824,3113,2024-01-01,6,16.98
12571,1348,2024-01-01,1,16.46
12479,1337,2024-01-01,2,5.66
11656,1243,2024-01-01,3,41.68
6672,689,2024-01-01,2,6.71
6353,666,2024-01-01,1,13.9
6028,634,2024-01-01,1,14.17
5722,603,2024-01-01,2,27.63
5509,574,2024-01-01,1,38.63
4637,482,2024-01-01,5,24.82
39368,4136,2024-01-01,1,7.53
42319,4456,2024-01-01,1,19.48
39529,4153,2024-01-01,5,4.05
3430,353,2024-01-01,3,12.06
37994,3991,2024-01-01,5,7.19
40245,4225,2024-01-01,4,15.65
2305,243,2024-01-01,1,12.2
40675,4271,2024-01-01,1,9.14
40705,4272,2024-01-01,1,13.95
1925,194,2024-01-01,6,3.71
40825,4284,2024-01-01,4,34.92
1884,191,2024-01-01,6,41.15
41107,4320,2024-01-01,5,25.74
1249,123,2024-01-01,1,55.32
47589,4987,2024-01-01,2,13.85
47571,4982,2024-01-01,1,4.36
40338,4233,2024-01-01,4,21.32
7029,716,2024-01-01,4,48.88
37865,3980,2024-01-01,1,46.23
7280,747,2024-01-01,6,22.91
11533,1224,2024-01-01,1,15.73
11315,1206,2024-01-01,6,14.8
35434,3696,2024-01-01,4,42.47
35529,3708,2024-01-01,2,17.34
10868,1162,2024-01-01,3,13.41
35631,3720,2024-01-01,3,42.79
35710,3727,2024-01-01,6,9.26
10283,1093,2024-01-01,3,27.45
35952,3747,2024-01-01,5,5.78
10211,1086,2024-01-01,4,11.53
10038,1070,2024-01-01,4,17.07
36092,3762,2024-01-01,6,16.13
36176,3771,2024-01-01,4,13.08
9852,1047,2024-01-01,1,29.37
36300,3785,2024-01-01,2,20.7
9389,992,2024-01-01,3,20.78
8882,928,2024-01-01,3,28.74
8789,914,2024-01-01,2,46.14
8749,910,2024-01-01,2,25.65
8491,886,2024-01-01,5,29.45
37267,3920,2024-01-01,6,14.26
37440,3934,2024-01-01,2,19.57
7671,790,2024-01-01,6,19.36
23712,2496,2024-01-01,6,13.59
28156,2945,2024-01-01,3,31.82
43082,4532,2024-01-01,6,14.82
27185,2853,2024-01-01,5,11.8
24574,2573,2024-01-01,5,9.24
26710,2798,2024-01-01,2,24.58
43912,4619,2024-01-01,6,16.34
26157,2744,2024-01-01,4,24.98
25968,2725,2024-01-01,2,26.98
25898,2721,2024-01-01,4,15.44
44137,4640,2024-01-01,4,45.16
20214,2145,2024-01-02,5,26.33
7388,759,2024-01-02,1,13.91
20519,2174,2024-01-02,2,8.5
